comments_count,attitudes_count,积极,region_name,screen_name,topic_struct,text_raw
0,0,积极,山东,面面俱到好运来,无,四大道教圣地之一“齐云山”， 看到的7秒内点个赞许个愿，心诚则灵
0,0,积极,未知,环球电竞,星穹铁道云璃;崩坏星穹铁道,24新角色是之前就出现过在文本里的仙舟朱明怀炎将军的孙女，云璃！物理毁灭角色！ 中配：刘雯 日配：若山诗音 英配：Brenna Larsen cr 西风猫猫糕 星穹铁道云璃崩坏星穹铁道
0,0,积极,未知,西安文旅之声,千年古都 常来长安;文化西安;碑林石录,千年古都 常来长安 文化西安 碑林石录 《多宝塔感应碑》，唐天宝十一载752 立石，由岑勋撰文、徐浩题额、史华刊石、颜真卿楷书书丹。此碑原立于唐长安城安定坊千福寺内，宋时入藏西安碑林。 （via西安碑林博物馆）
0,0,积极,未知,新知悦生活,刘亦菲彭冠英吻戏;玫瑰的故事主题曲,刘亦菲彭冠英吻戏玫瑰的故事主题曲刘亦菲新剧《玫瑰的故事》要来了！摘一段剧情简介，感觉是CP大乱炖的节奏：出生于书香世家的黄亦玫（刘亦菲饰）一路在呵护中长大，从小便展露出艺术天赋。初入职场的黄亦玫很快受到重用，与合作伙伴庄国栋（彭冠英饰）相识相爱，但最终错过彼此，这段职场磨炼也令她对自己的人生有了更清晰的规划，决定重返校园求学深造。毕业后，她和学长方协文（林更新饰）步入婚姻殿堂。可婚后两人发展方向相去甚远，最终选择离婚。黄亦玫开始创业，在艺术品策展领域打拼出一片天地，在此期间还遇到了自己的灵魂伴侣溥（pǔ）家明（霍建华饰），可溥家明只剩几个月的生命，两人这段爱情最终以生死离别画上句号，但黄亦玫没有就此消沉，她还是一如既往地为活出更精彩的自己而努力着。
0,1,积极,黑龙江,易学董老师,无,八字食伤多的人，有什么情绪、快乐、难过等都说出来、写出来，不会闷在心里，有些东西发泄出来内心就轻松了。
0,0,积极,未知,中国网新闻中心,为什么说跑步是一项治愈运动;只要开始跑步身体就在受益;世界跑步日,【为什么说跑步是一项治愈运动】跑起来是一种什么感觉？全身肌肉群被调动、血液循环开始加快……除了消耗能量、燃烧脂肪，你还会感受到内啡肽的力量——情绪改善、心情愉悦，连世界都变得美好了起来，这就是跑步的治愈效果。只要开始跑步身体就在受益6月5日世界跑步日，在奔跑中遇见更好的自己！
0,0,积极,未知,环球电竞,Doinb说老头杯我一定最抢手,又开始了？Doinb：如果参加老头杯，我不是队长也一定是最抢手的选手吃惊昨日Doinb直播中和弹幕互动时谈到了老头杯，Doinb认为如果自己参加老头杯，就是不是队长也一定是最抢手的选手。能指挥、能帮队友背锅，还可以帮队友点外卖、还得请他们吃饭你们觉得大B哥能参加下一届老头杯吗？吃瓜Doinb说老头杯我一定最抢手rita回应整容谣言theshy说tarzan豹女玩的不好
0,0,积极,未知,观网文娱,埃及博主高度共情和钦佩中国革命史,埃及博主高度共情和钦佩中国革命史我二刷《追风者》的原因是我跟着一个做中国电视剧reaction的埃及博主又看了一遍。我特别好奇，从一个来自第三世界的阿拉伯青年的角度第一次接触中国革命史，他的反应和感受会是什么样的。结果是他很认真地预习了这段历史，并且对中国革命高度地共情和钦佩——看到收回关税主权那里，他立刻联想到了埃及收回苏伊士运河的运动，并且立刻理解了剧情；看到淞沪抗战那一段，炮火连天、民居被炸成废墟、到处都是战火、哭喊时他的情绪几乎崩溃……然后他在看完这集后花了很长的时间掏心掏肺地向观众倾诉，作为一个埃及人，曾经在中东战争中的无奈和屈辱，以及此时此刻加沙正在发生的事情对于他们的影响，谈了他是如何从一个被西方媒体影响对中国抱有偏见的外国人，到受父亲的影响看到真实的中国，热爱中国文化。
0,0,积极,未知,环球电竞,KPL夏季赛第一轮赛程,KPL夏季赛第一轮赛程 公布！ 星星比赛时间：6月12日6月30日，共三周； 星星本轮比赛为三组组内单循环，BO5赛制； 星星6月12日1400，2024年春季赛冠军重庆狼队王者荣耀分部 与2023年夏季赛冠军广州TTG 揭幕战正面交锋。
0,0,积极,未知,新浪新闻热榜,女子称相亲见面遭男方踹伤,【女子称相亲见面遭男方踹伤：已报警，对方赔偿了1500元怒】据搜狐千里眼报道：近日，山东济南。李女士（化名）分享了自己第一次相亲遭遇暴力对待的经历。据李女士介绍，这次相亲是通过家里介绍的，那天见面对方找错了地点，自己指出错误后，他可能因为被驳了面子而不满，还凶狠地质问什么意思。自己见状认为已无法共进午餐就准备离开，这时他又突然踹了自己一脚，擦破了皮，随后便立即前往附近的超市寻求帮助，指出有监控后他才停止了辱骂。目前李女士已经报警，经民警协调，男方赔偿了1500元。
